Training Round,Epochs,Scenario,Embedding,Tagging Scheme,Capitalisation Dim,Lower,Char LSTM Dim,Word LSTM Dim,Precision,Recall,F1 Score
9,5,selective,Wang2Vec,iob,True,True,50,100,68.69,66.62,67.64
9,5,selective,Wang2Vec,iob,True,True,50,200,68.45,64.25,66.28
9,5,selective,Wang2Vec,iobes,False,False,25,100,59.76,56.51,58.09
9,5,selective,Wang2Vec,iobes,False,False,25,200,67.82,49.26,57.07
9,5,selective,Wang2Vec,iobes,False,False,50,100,61.23,53.07,56.86
9,5,selective,Wang2Vec,iobes,False,False,50,200,62.22,52.03,56.67
9,5,selective,Wang2Vec,iobes,False,True,25,100,69.74,63.79,66.63
9,5,selective,Wang2Vec,iobes,False,True,25,200,67.52,62.24,64.78
9,5,selective,Wang2Vec,iobes,False,True,50,100,48.37,37.83,42.45
9,5,selective,Wang2Vec,iobes,False,True,50,200,68.91,63.64,66.17
9,5,selective,Wang2Vec,iobes,True,False,25,100,61.14,53.03,56.8
9,5,selective,Wang2Vec,iobes,True,False,25,200,56.11,59.09,57.56
9,5,selective,Wang2Vec,iobes,True,False,50,100,69.22,47.01,55.99
9,5,selective,Wang2Vec,iobes,True,False,50,200,66.45,52.06,58.38
9,5,selective,Wang2Vec,iobes,True,True,25,100,70.49,65.44,67.87
9,5,selective,Wang2Vec,iobes,True,True,25,200,69.6,64.43,66.91
9,5,selective,Wang2Vec,iobes,True,True,50,100,68.66,64.72,66.63
9,5,selective,Wang2Vec,iobes,True,True,50,200,67.61,65.4,66.48
0,5,selective,FastText,iob,False,False,25,100,58.83,56.51,57.64
0,5,selective,FastText,iob,False,False,25,200,61.47,47.54,53.62
0,5,selective,FastText,iob,False,False,50,100,63.31,50.48,56.17
0,5,selective,FastText,iob,False,False,50,200,60.44,52.1,55.96
0,5,selective,FastText,iob,False,True,25,100,65.9,65.54,65.72
0,5,selective,FastText,iob,False,True,25,200,1.19,12.8,2.19
0,5,selective,FastText,iob,False,True,50,100,70.2,57.44,63.18
0,5,selective,FastText,iob,False,True,50,200,64.21,64.97,64.59
0,5,selective,FastText,iob,True,False,25,100,68.63,48.01,56.5
0,5,selective,FastText,iob,True,False,25,200,58.4,51.74,54.87
0,5,selective,FastText,iob,True,False,50,100,65.1,51.02,57.21
0,5,selective,FastText,iob,True,False,50,200,65.6,50.95,57.36
0,5,selective,FastText,iob,True,True,25,100,70.04,64.04,66.9
0,5,selective,FastText,iob,True,True,25,200,65.86,63.14,64.47
0,5,selective,FastText,iob,True,True,50,100,68.98,63.14,65.93
0,5,selective,FastText,iob,True,True,50,200,64.75,62.57,63.64
0,5,selective,FastText,iobes,False,False,25,100,56.18,55.72,55.95
0,5,selective,FastText,iobes,False,False,25,200,56.11,57.26,56.68
0,5,selective,FastText,iobes,False,False,50,100,62.59,47.33,53.9
0,5,selective,FastText,iobes,False,False,50,200,62.52,51.74,56.62
0,5,selective,FastText,iobes,False,True,25,100,67.04,64.47,65.73
0,5,selective,FastText,iobes,False,True,25,200,70.48,61.56,65.72
0,5,selective,FastText,iobes,False,True,50,100,62.88,69.13,65.86
0,5,selective,FastText,iobes,False,True,50,200,57.35,56.26,56.8
0,5,selective,FastText,iobes,True,False,25,100,61.21,53.14,56.89
0,5,selective,FastText,iobes,True,False,25,200,63.94,50.16,56.22
0,5,selective,FastText,iobes,True,False,50,100,62.48,52.96,57.33
0,5,selective,FastText,iobes,True,False,50,200,62.93,52.78,57.41
0,5,selective,FastText,iobes,True,True,25,100,65.15,66.15,65.65
0,5,selective,FastText,iobes,True,True,25,200,68.65,60.45,64.29
0,5,selective,FastText,iobes,True,True,50,100,64.48,55.79,59.82
0,5,selective,FastText,iobes,True,True,50,200,65.28,65.65,65.46
1,5,selective,FastText,iob,False,False,25,100,64.86,50.77,56.96
1,5,selective,FastText,iob,False,False,25,200,59.18,53.53,56.21
1,5,selective,FastText,iob,False,False,50,100,16.5,21.76,18.77
